,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide,overall
LR_reg,0.2767826059088304,0.26125450039338877,0.28429799603250216,0.38246993360871934,0.004059239489521142,0.29915009827872885,0.4074758334090677,0.3516847439265464,0.3447188328713945,0.14713584783404265,0.2759029631752742
LR_reg_trvl,0.2615261042107989,0.22292052739226756,0.25846765369554275,0.37216113777026905,0.004914672949143357,0.25263015825669405,0.4112433512412318,0.34987021450556754,0.3228680540360715,0.14532854619106556,0.26019304202486515
XGB_opt,0.19665137401195665,0.12102018407547,0.2043376334408594,0.22611550844240597,0.029272685140647313,0.19420209851804687,0.25951556825253963,0.23317893970805786,0.20317408057798922,0.07880694186687044,0.17462750140348432
XGB_opt_trvl,0.16030390276618628,0.09299784144611556,0.17099937928281922,0.2110446946926557,0.016176140634807434,0.15975673521358977,0.2392929120695717,0.18674152896437207,0.17355651791774612,0.08166643602891402,0.1492536089016778
SVC,0.25077004668024483,0.1972031094385666,0.2807269597768136,0.3536190233506552,0.007036387269171489,0.252333602407807,0.36454853154904,0.29539861149444935,0.29206043742498367,0.11634952945748449,0.24100462388492164
SVC_trvl,0.2341854283865735,0.1795945838246021,0.29258849745421833,0.3608961604442589,0.00412564026137115,0.23319651261625035,0.3432619537573397,0.27091128700773554,0.2714285448541561,0.11117738256574108,0.23013659911722467
XGB_tempb_peaks_opt,0.19504383100727152,0.12725561255970502,0.20048671679044144,0.24008311371277063,0.012315083744781958,0.164854814627361,0.2399570535617075,0.23931971397608573,0.21280561231900258,0.07529303845939923,0.17074145907585264
XGB_tempb_peaks_opt_trvl,0.1498281400392832,0.09301901140051114,0.16665983013362626,0.20769608078810645,0.014033538995205336,0.148409597606228,0.22877625417536848,0.19691387258807694,0.17159940715849445,0.07329880544762327,0.14502345383325238
XGB_tempb_peaks_slope_opt,0.19520568177743663,0.12031231878582822,0.1963325934969151,0.24169911216776438,0.012315083744781958,0.16530498244485917,0.23245570364568774,0.2323883510399649,0.21482440203037304,0.07531181614802744,0.16861500452816386
XGB_tempb_peaks_slope_opt_trvl,0.14909855284917112,0.09245368205162423,0.16391485702179903,0.2109987667602365,0.014033538995205336,0.14532247398525805,0.22222365475676015,0.19551551843464737,0.16645654836764276,0.0734885284485847,0.14335061216709294
XGB_tempb_peaks_slope_topi_opt,0.19587480511132652,0.11631532745545028,0.19634522138754695,0.23932652730115453,0.012315083744781958,0.16100005371269815,0.2361309095439051,0.22990574306708528,0.2134879802521291,0.07493350768998107,0.16756351592660587
XGB_tempb_peaks_slope_topi_opt_trvl,0.14837289364431888,0.08935366025632574,0.1641920493095718,0.2105470783364448,0.014033538995205336,0.14633956037110943,0.22254730416083085,0.19505924932561924,0.16371391431687263,0.07384643618882182,0.14280056849051204
XGB,0.22565078102787242,0.13225618815649615,0.22720553328986837,0.254578396456081,0.027906252811262605,0.20850854126821824,0.29730870486992084,0.2575651139000811,0.2245971262183839,0.07831794841140914,0.19338945864095938
XGB_trvl,0.17535642713573033,0.09042970225928271,0.18622434858380826,0.23514644413808328,0.017460904940602717,0.16719442244347366,0.2574618023465163,0.20515629972326366,0.18776378520666673,0.08088348573694427,0.16030776225143717
XGB_opt_area,0.1858577117021965,0.12794140325401443,0.20697566164877373,0.2446655951976716,0.038971304977226354,0.2138142749899879,0.27848557620799663,0.24366525098263514,0.20675288525652635,0.07890276062590225,0.18260324248429308
XGB_tempb_peaks_slope_area_opt_trvla,0.15038263729381854,0.09499585703267324,0.1659094011240705,0.2041973853217045,0.014033538995205336,0.14792109491711591,0.2252796669705329,0.19611972573151465,0.16984369343694294,0.07292458723543724,0.14416075880590157
XGB_opt_area_trvl,0.1622114861186489,0.09905525547656548,0.16938881409577453,0.21597202797016476,0.022625715924459965,0.15165467534821125,0.24709419375870514,0.20099827398083883,0.18721813352418798,0.07822736212668946,0.15344459383242465
XGB_opt_area_filtered,0.20008396178605553,0.14400262503768219,0.2341266328663087,0.24039816759910154,0.03742311856076636,0.20688072621889156,0.28125205760019323,0.2513079165664845,0.20709716189434432,0.08492979328805637,0.1887502161417884
XGB_opt_area_filtered_trvl,0.15666816526475671,0.11669601380893395,0.1964089522141177,0.2203805359360071,0.021259981404598977,0.16433460029096783,0.2578109369592133,0.1979586719591318,0.1854586401124073,0.07921493043724907,0.15961914283873838
XGB_tempb_spectra_opt,0.19774362627686384,0.13313882091367885,0.2034764328932007,0.23732703568343277,0.031748384911757264,0.19446551458946235,0.26435473123291986,0.23165905778390986,0.21771252220094497,0.08008555332534636,0.1791711679811517
XGB_tempb_spectra_opt_trvl,0.1583013395252921,0.09753238448700083,0.1662865609148681,0.20821211507225845,0.016208049944925782,0.15815050778270706,0.24340647742486085,0.19205217866847285,0.1731007783928667,0.07881859170146491,0.14920689839147175
